# birds_wingspan.tsv - bird common name <TAB> typical adult wingspan in centimetres
# Values are APPROXIMATE central figures for the species. Possessive apostrophes are
# stripped to fit the shared alphabet. See data/birds_wingspan_tsv.meta.json.
Wandering Albatross	300
Royal Albatross	300
Black-browed Albatross	240
Laysan Albatross	200
Black-footed Albatross	200
Short-tailed Albatross	220
Waved Albatross	230
Light-mantled Albatross	210
Sooty Albatross	200
Northern Giant Petrel	190
Southern Giant Petrel	195
Northern Fulmar	110
Cape Petrel	85
Snow Petrel	80
Wilsons Storm Petrel	40
European Storm Petrel	37
Leachs Storm Petrel	45
Manx Shearwater	82
Sooty Shearwater	105
Great Shearwater	110
Corys Shearwater	115
Northern Gannet	175
Cape Gannet	180
Australasian Gannet	170
Blue-footed Booby	150
Red-footed Booby	140
Masked Booby	160
Brown Booby	145
Great Frigatebird	215
Magnificent Frigatebird	230
Lesser Frigatebird	185
Brown Pelican	210
American White Pelican	280
Great White Pelican	300
Dalmatian Pelican	320
Pink-backed Pelican	250
Australian Pelican	250
Great Cormorant	145
Double-crested Cormorant	130
European Shag	100
Anhinga	115
African Darter	120
White-tailed Tropicbird	90
Red-billed Tropicbird	105
Red-tailed Tropicbird	110
Great Skua	140
South Polar Skua	130
Brown Skua	145
Parasitic Jaeger	115
Pomarine Jaeger	125
Long-tailed Jaeger	105
Great Black-backed Gull	158
Lesser Black-backed Gull	142
Herring Gull	145
Glaucous Gull	155
Iceland Gull	135
Ring-billed Gull	122
California Gull	130
Western Gull	140
Heermanns Gull	130
Laughing Gull	105
Franklins Gull	90
Black-headed Gull	100
Mediterranean Gull	100
Common Gull	120
Little Gull	75
Bonapartes Gull	85
Ivory Gull	110
Sabines Gull	90
Ross Gull	90
Black-legged Kittiwake	108
Caspian Tern	130
Royal Tern	110
Sandwich Tern	100
Common Tern	80
Arctic Tern	78
Roseate Tern	78
Little Tern	52
Least Tern	50
Black Tern	65
Whiskered Tern	68
Sooty Tern	90
Bridled Tern	80
Gull-billed Tern	95
Forsters Tern	82
Inca Tern	80
Black Skimmer	112
Atlantic Puffin	55
Horned Puffin	58
Tufted Puffin	65
Common Murre	67
Thick-billed Murre	70
Razorbill	65
Black Guillemot	55
Pigeon Guillemot	58
Little Auk	40
Rhinoceros Auklet	56
Cassins Auklet	38
Marbled Murrelet	42
Golden Eagle	215
Bald Eagle	210
White-tailed Eagle	230
Stellers Sea Eagle	245
African Fish Eagle	210
Wedge-tailed Eagle	230
Martial Eagle	240
Crowned Eagle	180
Harpy Eagle	200
Philippine Eagle	200
Bonellis Eagle	165
Booted Eagle	120
Short-toed Snake Eagle	175
Bateleur	175
Verreauxs Eagle	210
Tawny Eagle	190
Steppe Eagle	200
Eastern Imperial Eagle	210
Spanish Imperial Eagle	205
Lesser Spotted Eagle	160
Greater Spotted Eagle	175
White-bellied Sea Eagle	210
Osprey	160
Andean Condor	300
California Condor	285
Cinereous Vulture	285
Griffon Vulture	265
Himalayan Griffon	280
Bearded Vulture	275
Egyptian Vulture	165
Rueppells Vulture	260
White-backed Vulture	220
Lappet-faced Vulture	280
Hooded Vulture	165
Turkey Vulture	175
Black Vulture	155
King Vulture	190
Palm-nut Vulture	150
Common Buzzard	125
Rough-legged Buzzard	140
European Honey Buzzard	140
Red-tailed Hawk	125
Red-shouldered Hawk	105
Broad-winged Hawk	88
Swainsons Hawk	130
Ferruginous Hawk	145
Coopers Hawk	84
Sharp-shinned Hawk	60
Northern Goshawk	110
Eurasian Sparrowhawk	65
Harris Hawk	115
Zone-tailed Hawk	125
Grey Hawk	90
Black Kite	155
Red Kite	175
Snail Kite	115
Mississippi Kite	90
Swallow-tailed Kite	130
Brahminy Kite	120
Northern Harrier	110
Western Marsh Harrier	125
Montagus Harrier	115
Pallid Harrier	110
Peregrine Falcon	105
Gyrfalcon	125
Saker Falcon	120
Lanner Falcon	105
Prairie Falcon	105
Merlin	60
American Kestrel	58
Common Kestrel	73
Lesser Kestrel	68
Eurasian Hobby	80
Amur Falcon	70
Red-footed Falcon	75
Aplomado Falcon	90
Eurasian Eagle Owl	175
Great Horned Owl	130
Snowy Owl	150
Great Grey Owl	145
Barn Owl	95
Barred Owl	110
Tawny Owl	100
Long-eared Owl	95
Short-eared Owl	100
Northern Hawk Owl	78
Boreal Owl	58
Northern Saw-whet Owl	45
Burrowing Owl	55
Little Owl	55
Elf Owl	35
Eastern Screech Owl	52
Western Screech Owl	55
Spotted Owl	110
Ural Owl	120
Verreauxs Eagle Owl	160
Blakistons Fish Owl	190
Powerful Owl	135
Mute Swan	220
Whooper Swan	225
Trumpeter Swan	230
Tundra Swan	200
Black Swan	190
Black-necked Swan	180
Canada Goose	165
Snow Goose	150
Greylag Goose	165
Greater White-fronted Goose	145
Bean Goose	155
Brant	120
Barnacle Goose	140
Egyptian Goose	140
Bar-headed Goose	150
Emperor Goose	120
Nene	135
Magpie Goose	160
Mallard	90
Northern Pintail	88
Northern Shoveler	80
Gadwall	85
American Wigeon	80
Eurasian Wigeon	82
Common Teal	60
Blue-winged Teal	60
Cinnamon Teal	62
Wood Duck	72
Mandarin Duck	70
Common Eider	100
King Eider	95
Spectacled Eider	90
Stellers Eider	78
Harlequin Duck	66
Long-tailed Duck	73
Common Goldeneye	78
Barrows Goldeneye	80
Bufflehead	55
Common Merganser	88
Red-breasted Merganser	80
Hooded Merganser	62
Smew	65
Canvasback	85
Redhead	80
Common Pochard	78
Tufted Duck	70
Greater Scaup	78
Lesser Scaup	72
Ring-necked Duck	70
Ruddy Duck	60
Surf Scoter	78
Black Scoter	76
Velvet Scoter	95
Muscovy Duck	145
Ruddy Shelduck	130
Common Shelduck	115
Eurasian Curlew	95
Whimbrel	82
Long-billed Curlew	90
Bar-tailed Godwit	75
Black-tailed Godwit	72
Marbled Godwit	78
Hudsonian Godwit	72
Common Redshank	62
Spotted Redshank	65
Common Greenshank	68
Greater Yellowlegs	70
Lesser Yellowlegs	60
Willet	66
Common Sandpiper	38
Spotted Sandpiper	37
Green Sandpiper	42
Wood Sandpiper	40
Ruff	55
Dunlin	38
Sanderling	40
Red Knot	60
Curlew Sandpiper	40
Little Stint	32
Least Sandpiper	30
Semipalmated Sandpiper	32
Western Sandpiper	32
Purple Sandpiper	42
Pectoral Sandpiper	45
Ruddy Turnstone	52
Eurasian Oystercatcher	82
American Oystercatcher	88
Black Oystercatcher	90
Pied Avocet	78
American Avocet	76
Black-winged Stilt	75
Black-necked Stilt	72
Northern Lapwing	84
Grey Plover	78
