Toyota	1937
Honda	1948
Ford	1903
Chevrolet	1911
Nissan	1933
Volkswagen	1937
BMW	1916
Mercedes-Benz	1926
Audi	1909
Porsche	1931
Ferrari	1939
Lamborghini	1963
Maserati	1914
Bentley	1919
Rolls-Royce	1904
Jaguar	1922
Aston Martin	1913
Lotus	1952
Bugatti	1909
Alfa Romeo	1910
Fiat	1899
Lancia	1906
Peugeot	1810
Renault	1899
Citroen	1919
Opel	1862
Volvo	1927
Saab	1945
Mazda	1920
Mitsubishi	1970
Subaru	1953
Suzuki	1909
Hyundai	1967
Kia	1944
Tesla	2003
Rivian	2009
Lucid	2007
Cadillac	1902
Buick	1899
Chrysler	1925
Dodge	1900
Jeep	1941
Lincoln	1917
Genesis	2015
Pontiac	1926
Land Rover	1948
Saturn	1985
MG	1924
Morgan	1910
Koenigsegg	1994
Pagani	1992
Polestar	2017
Infiniti	1989
Acura	1986
Lexus	1989
Isuzu	1934
Daihatsu	1907
Studebaker	1852
Skoda	1895
BYD	2003
Geely	1986
Rimac	2009
Nio	2014
Xpeng	2014
Great Wall	1984
Byton	2017
