# mountains_height.tsv - mountain or peak name <TAB> summit elevation in metres above sea level
# Accents and apostrophes are stripped to fit the shared alphabet.
# See data/mountains_height_tsv.meta.json.
Everest	8849
K2	8611
Kangchenjunga	8586
Lhotse	8516
Makalu	8485
Cho Oyu	8188
Dhaulagiri	8167
Manaslu	8163
Nanga Parbat	8126
Annapurna	8091
Gasherbrum I	8080
Broad Peak	8051
Gasherbrum II	8035
Shishapangma	8027
Gyachung Kang	7952
Gasherbrum III	7952
Annapurna II	7937
Gasherbrum IV	7925
Himalchuli	7893
Distaghil Sar	7884
Ngadi Chuli	7871
Nuptse	7861
Khunyang Chhish	7852
Masherbrum	7821
Nanda Devi	7816
Chomo Lonzo	7804
Batura Sar	7795
Rakaposhi	7788
Namcha Barwa	7782
Kanjut Sar	7760
Kamet	7756
Saltoro Kangri	7742
Jannu	7710
Tirich Mir	7708
Molamenqing	7703
Gurla Mandhata	7694
Saser Kangri	7672
Chogolisa	7665
Shispare	7611
Trivor	7577
Gangkhar Puensum	7570
Annapurna III	7555
Muztagh Ata	7546
Kula Kangri	7538
Ismoil Somoni Peak	7495
Gangapurna	7455
Jengish Chokusu	7439
Jomolhari	7326
Nun	7135
Lenin Peak	7134
Api	7132
Baruntse	7129
Trisul	7120
Korzhenevskaya Peak	7105
Kun	7077
Dunagiri	7066
Kongur Tagh	7649
Khan Tengri	7010
Panchchuli	6904
Bhagirathi I	6856
Changabang	6864
Chaukhamba	7138
Machapuchare	6993
Kang Guru	6981
Ama Dablam	6812
Cho Polu	6735
Thamserku	6608
Shivling	6543
Mera Peak	6476
Cholatse	6440
Chulu West	6419
Kang Yatse	6400
Kusum Kanguru	6367
Pumori	7161
Kongde Ri	6187
Island Peak	6189
Stok Kangri	6153
Lobuche East	6119
Pisang Peak	6091
Tent Peak	5695
Kala Patthar	5644
Gokyo Ri	5357
Mount Elbrus	5642
Damavand	5610
Dykh-Tau	5205
Shkhara	5193
Koshtan-Tau	5152
Mount Ararat	5137
Mount Kazbek	5054
Sabalan	4811
Ushba	4710
Belukha	4506
Zard Kuh	4221
Mount Hermon	2814
Jebel Shams	3009
Mount Sinai	2285
Kilimanjaro	5895
Mount Kenya	5199
Mount Stanley	5109
Mount Speke	4890
Mount Meru	4562
Ras Dashen	4550
Mount Karisimbi	4507
Jebel Toubkal	4167
Mount Cameroon	4095
Thabana Ntlenyana	3482
Nyiragongo	3470
Mafadi	3450
Emi Koussi	3445
Jebel Marra	3042
Table Mountain	1085
Mont Blanc	4808
Monte Rosa	4634
Dom	4545
Lyskamm	4527
Weisshorn	4506
Taschhorn	4491
Matterhorn	4478
Mont Maudit	4465
Dent Blanche	4357
Nadelhorn	4327
Grand Combin	4314
Mont Blanc du Tacul	4248
Finsteraarhorn	4274
Castor	4223
Zinalrothorn	4221
Grandes Jorasses	4208
Alphubel	4206
Rimpfischhorn	4199
Aletschhorn	4194
Breithorn	4164
Jungfrau	4158
Aiguille Verte	4122
Monch	4107
Barre des Ecrins	4102
Obergabelhorn	4063
Gran Paradiso	4061
Piz Bernina	4049
Eiger	3967
Piz Roseg	3937
Bietschhorn	3934
Ortler	3905
Piz Palu	3900
Monte Viso	3841
Grossglockner	3798
Wildspitze	3768
Grossvenediger	3666
Marmolada	3343
Tofana di Mezzo	3244
Tre Cime di Lavaredo	2999
Dachstein	2995
